#,Name,Symbol,On Exchange,% Supply On Exchange,1D Change,1D Change %,7D Change,7D Change %,30D Change,30D Change %
260,Hunt,HUNT,441549.0,0.22,1634.52,0.37,2394.04,0.55,-5423.22,-1.21
261,Dego Finance,DEGO,12266821.0,58.41,1717.14,0.01,13507.51,0.11,304857.26,2.55
262,Propy,PRO,4011014.0,4.01,48333.63,1.22,14669.65,0.37,100667.82,2.57
263,Clover Finance,CLV,466905632.0,46.69,2486203.64,0.54,22381596.25,5.03,35803706.06,8.31
264,SingularityDAO,SDAO,14053925.0,14.05,105171.12,0.75,-442057.83,-3.05,586042.04,4.35
265,Litentry,LIT,36800331.0,36.8,-153663.35,-0.42,254899.24,0.7,435868.09,1.2
266,Bella Protocol,BEL,42692101.0,42.69,6069.07,0.01,845280.88,2.02,1610581.28,3.92
267,Onyxcoin,XCN,3757288578.0,7.76,1830526.42,0.05,415200812.0,12.42,-47129648.95,-1.24
268,Celsius,CEL,11277450.0,1.62,-517.6,0.0,94304.23,0.84,287229.08,2.61
269,Boba Network,BOBA,39634485.0,7.93,92206.01,0.23,2647383.61,7.16,2522991.87,6.8
270,Enzyme,MLN,412500.0,17.42,1520.63,0.37,-674.27,-0.16,19600.9,4.99
271,Unifi Protocol DAO,UNFI,5998199.0,69.51,-1383.83,-0.02,-12908.01,-0.21,26082.4,0.44
272,League of Kingdoms Arena,LOKA,81270517.0,40.31,355205.66,0.44,373893.42,0.46,3167620.32,4.06
273,Reef Finance,REEF,9245392702.0,40.51,-16622447.07,-0.18,318043867.0,3.56,820796113.0,9.74
274,LTO Network,LTO,79410286.0,18.68,280114.87,0.35,288272.96,0.36,1265820.12,1.62
275,xMoney,UTK,163528080.0,32.71,-510818.89,-0.31,-4061448.4,-2.42,-3942530.17,-2.35
276,Alpha Quark Token,AQT,754382.0,2.51,-7.43e-06,0.0,-581.9,-0.08,3408.04,0.45
277,Velas,VLX,28623657.0,1.12,-22896.09,-0.08,-161712.6,-0.56,-5006681.68,-14.89
278,Rally,RLY,223516177.0,1.49,2293852.25,1.04,3069449.24,1.39,6901174.5,3.19
279,Selfkey,KEY,4440069045.0,74.0,2880282.68,0.06,-6357100.81,-0.14,13152990.7,0.3
280,Quickswap(New),QUICK,17410091.0,1.93,198190.8,1.15,455083.28,2.68,1545791.16,9.74
281,AVA,AVA,30527539.0,50.04,126587.91,0.42,-100905.52,-0.33,-2424032.89,-7.36
282,Rarible,RARI,1677770.0,6.71,2949.36,0.18,-43066.38,-2.5,63398.28,3.93
283,Ramp DeFi,RAMP,568083.0,0.06,4.013e-05,0.0,0.0,0.0,1195.0,0.21
284,Burger Swap,BURGER,43439536.0,86.49,-3472.58,-0.01,-81895.76,-0.19,-193119.53,-0.44
285,Keep3rV1,KP3R,194663.0,38.41,-973.27,-0.5,-2491.93,-1.26,-4275.71,-2.15
286,Parsiq,PRQ,40552384.0,13.07,1313531.35,3.35,-680466.09,-1.65,-5319184.89,-11.6
287,Tranchess,CHESS,84114442.0,28.04,32858.53,0.04,199952.21,0.24,574821.23,0.69
288,Voyager Token,VGX,178054858.0,60.56,21180.51,0.01,-259063.4,-0.15,2492908.08,1.42
289,Dock,DOCK,1027629.0,0.11,2.905e-05,0.0,-2e-05,0.0,0.0,0.0
290,Harvest Finance,FARM,246736.0,34.99,-1685.21,-0.68,-1934.41,-0.78,4036.5,1.66
291,AirDAO,AMB,14983315.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0
292,Cream,CREAM,653404.0,22.34,124.66,0.02,-3056.92,-0.47,52397.44,8.72
293,AdEx,ADX,66829897.0,44.55,-217666.87,-0.32,-622941.08,-0.92,-1506325.22,-2.2
294,district0x,DNT,95711755.0,9.57,463488.47,0.49,1784492.54,1.9,5805787.15,6.46
295,Alpaca Finance,ALPACA,67121051.0,44.86,-62631.08,-0.09,956265.17,1.45,1903200.82,2.92
296,StarLink,STARL,5250382428462.0,52.5,-8091837504.0,-0.15,-104378374093.0,-1.95,-76747882354.0,-1.44
297,BarnBridge,BOND,6301507.0,63.02,18266.68,0.29,23099.76,0.37,229231.99,3.78
298,Beefy,BIFI,39893.0,49.87,-32.4714,-0.08,2505.05,6.7,2928.26,7.92
299,VIDT DAO,VIDT,699530597.0,69.95,-74158.44,-0.01,946394.11,0.14,5453658.89,0.79
300,DFI.Money,YFII,30935.0,77.34,-591.28,-1.88,-3300.38,-9.64,-5351.06,-14.75
301,DFI.Money,YFII,30935.0,77.34,-591.28,-1.88,-3300.38,-9.64,-5351.06,-14.75
302,Boson Protocol,BOSON,37086014.0,18.54,71178.74,0.19,857516.97,2.37,2084249.17,5.95
303,StaFi,FIS,29303180.0,25.5,-30304.01,-0.1,722696.84,2.53,-564515.52,-1.89
304,Akropolis,AKRO,2872203903.0,57.44,-3481168.57,-0.12,-2587125.05,-0.09,68339862.9,2.44
305,Dragonchain,DRGN,124165956.0,28.64,-111640.98,-0.09,-649784.66,-0.52,443904.25,0.36
306,Decentral Games V2,DG,5065313.0,0.68,-722164.45,-12.48,-2477986.63,-32.85,-22008.91,-0.43
307,Volt Inu(new),VOLT,6259765173504.0,9.07,-48054389769.0,-0.76,-17332216047.0,-0.28,272315665806.0,4.55
308,Alpine F1 Team Fan Token,ALPINE,8431303.0,21.08,4773.64,0.06,-19452.62,-0.23,-18686.55,-0.22
309,Lazio Fan Token,LAZIO,8030381.0,20.08,-2015.4,-0.03,64.3195,0.0,138626.87,1.76
310,Dogechain,DC,2724669027.0,1.61,-2.703e-05,0.0,-5.358e-05,0.0,2018428.0,0.07
311,MXC,MXC,134634719.0,5.1,-8087.5,-0.01,3484546.44,2.66,-35488670.75,-20.86
312,Manchester City Fan Token,CITY,800098.0,4.05,0.0,0.0,0.0,0.0,124.23,0.02
313,FC Porto,PORTO,6984774.0,17.46,52.662,0.0,14423.04,0.21,7387.45,0.11
314,Ellipsis,EPS,138955.0,0.02,-9.22e-06,0.0,1279.96,0.93,4953.79,3.7
315,Sentinel,SENT,12327107.0,0.05,-4.168e-05,0.0,-2.924e-05,0.0,0.0,0.0
316,TrustSwap,SWAP,3705576.0,3.71,-359.91,-0.01,8671.68,0.23,134058.8,3.75
317,Octopus Network,OCT,5385546.0,5.39,24106.29,0.45,-15576.31,-0.29,274999.99,5.38
318,PolySwarm,NCT,65419119.0,3.47,-1123781.85,-1.69,-4604338.21,-6.58,-18867440.38,-22.38
319,Kryll,KRL,7706030.0,15.59,290066.7,3.91,-146431.94,-1.86,-205926.81,-2.6
320,Gifto,GFT,714066429.0,71.41,3361685.77,0.47,-5835757.42,-0.81,-17150728.5,-2.35
321,NEST Protocol,NEST,1728383013.0,17.28,-356118.34,-0.02,-1680318.9,-0.1,-2798107.54,-0.16
322,dForce,DF,190561009.0,19.06,-17448.83,-0.01,117633.73,0.06,2590107.84,1.38
323,AirSwap,AST,103789909.0,20.76,392493.57,0.38,13227296.15,14.61,24618753.57,31.1
324,Fusion,FSN,139682.0,0.24,-7.575e-05,0.0,3.06e-05,0.0,0.0,0.0
325,ForTube,FOR,233178751.0,23.32,195564.81,0.08,4265686.19,1.86,13287109.3,6.04
326,Nimiq,NIM,334003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,Matrix AI Network,MAN,4425242.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
328,QRL,QRL,12925.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
329,Inverse Finance,INV,17792.0,3.21,-884.2,-4.73,-916.37,-4.9,259.62,1.48
330,pNetwork,PNT,67686516.0,69.94,31324.44,0.05,36504.5,0.05,-24307.58,-0.04
331,Bytom,BTM,259419274.0,12.35,1864023.38,0.72,910661.0,0.35,-1392073.4,-0.53
332,Chrono.tech,TIME,169413.0,23.86,1449.09,0.86,11597.18,7.35,38912.48,29.82
333,SUKU,SUKU,21058149.0,1.4,-1949365.58,-8.47,-9223505.17,-30.46,-6885972.88,-24.64
334,Viberate,VIB,157469696.0,78.73,-2977.86,0.0,111478.39,0.07,585028.1,0.37
335,SOLVE token,SOLVE,129634986.0,12.96,2.945e-05,0.0,223221.67,0.17,-1965289.12,-1.49
336,Wall Street Memes,WSM,502256013.0,25.12,-161773.97,-0.03,-24756873.34,-4.7,-333115065.0,-39.88
337,Revvmotorsport,REVV,156972774.0,5.23,-1058298.66,-0.67,-4872801.69,-3.01,25582905.59,19.47
338,PowerPool,CVP,22799777.0,22.8,-19262.56,-0.08,198998.63,0.88,277806.29,1.23
339,Multichain,MULTI,2995156.0,3.0,-28318.95,-0.94,-404938.42,-11.91,-1404439.78,-31.92
340,Tornado.Cash,TORN,869905.0,8.7,6231.47,0.72,-2843.92,-0.33,-58448.27,-6.3
341,Drep(new),DREP,32404227.0,32.4,-492119.4,-1.5,-513319.57,-1.56,1678687.72,5.46
342,OAX,OAX,39012039.0,39.01,-1e-09,0.0,6618.52,0.02,144468.5,0.37
343,Serum,SRM,93476929.0,35.81,-196770.99,-0.21,-1386570.13,-1.46,-956992.44,-1.01
344,Aventus,AVT,464335.0,4.37,-3358.47,-0.72,-96801.38,-17.25,-100701.16,-17.82
345,WeWay,WWY,785849010.0,11.23,-3728342.87,-0.47,-6798811.73,-0.86,14255690.65,1.85
346,BABB,BAX,44570624316.0,53.06,74720443.69,0.17,61920193.53,0.14,134879295.0,0.3
347,Blockchain Brawlers,BRWL,102320288.0,10.23,-44563.35,-0.04,-600212.69,-0.58,4685100.69,4.8
348,Cryptex Finance,CTX,461844.0,4.62,656.72,0.14,4239.55,0.93,-23035.04,-4.75
349,Revain,REV,3244899340.0,3.81,0.0,0.0,-204484.0,-0.01,198900005.0,6.53
350,QASH,QASH,47833920.0,4.78,4.2e-05,0.0,0.0,0.0,0.0,0.0
351,Ooki Protocol,OOKI,5908771991.0,123.69,-5802880.18,-0.1,334158117.0,5.99,648689071.0,12.33
352,Augur,REP,2502458.0,22.75,-13933.11,-0.55,-20227.97,-0.8,-160663.57,-6.03
353,Hillstone Finance,HSF,21190522.0,21.19,0.0,0.0,9.54e-05,0.0,1793.03,0.01
354,Pluton,PLU,319996.0,1.6,22721.21,7.64,-10706.2,-3.24,5307.86,1.69
355,TamaDoge,TAMA,229879911.0,16.21,-710195.66,-0.31,-875277.38,-0.38,-490260043.0,-68.08
356,Gamestarter,GAME,1188633.0,1.19,34349.16,2.98,44687.42,3.91,124781.07,11.73
357,Strips Finance,STRP,540961.0,0.54,450000.0,494.72,449766.67,493.2,451078.32,501.85
358,BTC Standard Hashrate Token(new),BTCST,5029395.0,33.53,-2370.29,-0.05,-2734.63,-0.05,64001.36,1.29
359,Anchor Protocol,ANC,2741783.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0
360,SunContract,SNC,16045073.0,13.08,0.0,0.0,-2.149e-05,0.0,0.0,0.0
361,Morpheus Labs,MITX,390278924.0,39.03,-8.32e-06,0.0,7.13e-06,0.0,-20000.0,-0.01
362,Satoshi Island Coin,STC,298519.0,1.42,0.0,0.0,0.0,0.0,-602.75,-0.2
363,ProBit Token,PROB,14842772.0,7.81,-3.536e-05,0.0,-2.535e-05,0.0,-1024.0,-0.01
364,Navcoin,NAV,891507.0,1.16,-89.301,-0.01,-1870.1,-0.21,-9821.6,-1.09
365,pSTAKE,PSTAKE,48078975.0,9.62,358975.89,0.75,881386.72,1.87,3676804.75,8.28
366,DOSE,DOSE,618418080.0,12.37,-104940.28,-0.02,31306113.57,5.33,58643322.05,10.48
367,Quantstamp,QSP,262608048.0,26.89,-544776.72,-0.21,-2253082.87,-0.85,20894314.09,8.64
368,MoveZ,MOVEZ,882916550.0,18.02,-3868501.8,-0.44,-1110962.65,-0.13,11820900.56,1.36
369,Lympo,LYM,604581354.0,60.46,-2120187.4,-0.35,-2463338.36,-0.41,-2164149.75,-0.36
370,AstroSwap,ASTRO,92857661.0,2.44,3100459.6,3.45,-3258248.7,-3.39,-13854342.33,-12.98
371,TenUp,TUP,61422864.0,31.99,389639.74,0.64,1992220.95,3.35,3548735.49,6.13
372,Populous,PPT,8022005.0,15.06,-8.69e-06,0.0,-32442.55,-0.4,-46935.6,-0.58
373,Mirror Protocol,MIR,45554651.0,12.29,-241064.05,-0.53,1426268.12,3.23,2344830.42,5.43
374,BnkToTheFuture,BFT,70160611.0,7.02,-6.397e-05,0.0,-6.689e-05,0.0,-158209.77,-0.22
375,AutoFarm,AUTO,28299.0,35.09,151.14,0.54,-205.1,-0.72,-1082.93,-3.69
376,Cindicator,CND,462567096.0,23.13,0.0,0.0,-485183.47,-0.1,-2465015.78,-0.53
377,TenX,PAY,50914444.0,24.81,0.0,0.0,-1053778.14,-2.03,-892022.08,-1.72
378,Green Satoshi Token (BSC),GST,30677722.0,17.86,300655.2,0.99,835433.75,2.8,723976.96,2.42
379,Skeb Coin,SKEB,245859507.0,2.46,-1.702e-05,0.0,38223134.15,18.41,17565969.58,7.69
380,Monetha,MTH,110511017.0,27.46,179104.77,0.16,-4866605.6,-4.22,-3395546.96,-2.98
381,OpenDao,SOS,58915705785541.0,58.92,-27599413675.0,-0.05,-542081437700.0,-0.91,3548756575020.0,6.41
382,RCN,RCN,171533428.0,17.15,-263417.96,-0.15,2190663.02,1.29,3478050.25,2.07
383,Genaro Network,GNX,158063778.0,24.32,0.00014722,0.0,-49561.33,-0.03,6188262.79,4.07
384,RDN,RDN,16187349.0,16.19,-3765.72,-0.02,-27281.22,-0.17,194168.26,1.21
385,Walton,WTC,7844903.0,8.84,-6.23e-06,0.0,-4.735e-05,0.0,-30.2932,0.0
386,Dentacoin,DCN,20405305090.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0
387,Mithril,MITH,578466714.0,57.85,-218587.54,-0.04,-494330.85,-0.09,7127131.39,1.25
388,Credits,CS,2592303.0,1.04,-3.1e-05,0.0,8e-06,0.0,0.0,0.0
389,Brokoli Network,BRKL,8568582.0,6.85,-1025821.52,-10.69,-330539.51,-3.71,-783494.14,-8.38
390,PERL.eco,PERL,260928775.0,25.25,82980.67,0.03,-27086125.21,-9.4,-35341140.37,-11.93
391,Moeda Loyalty,MDA,9466815.0,48.23,1.431e-05,0.0,-3317.99,-0.04,1078994.06,12.86
392,Humaniq,HMQ,27906258.0,13.47,-6.151e-05,0.0,-8.393e-05,0.0,0.0,0.0
393,SONM,SNM,161193730.0,363.05,-11894.0,-0.01,-50870.17,-0.03,-243368.78,-0.15
394,Bread,BRD,39908165.0,44.91,-2.03e-05,0.0,-32133.04,-0.08,-133068.95,-0.33
395,Odyssey,OCN,6726900411.0,67.27,-4.961e-05,0.0,-1.908e-05,0.0,-1535453.98,-0.02
396,RuffChain,RUFF,225499974.0,11.99,3.14e-06,0.0,0.0,0.0,7805990.74,3.59
397,BIX Token,BIX,41820119.0,19.88,-9.04e-06,0.0,-7.23e-06,0.0,-42.0,0.0
398,Everex,EVX,7105631.0,28.42,0.0,0.0,0.0,0.0,-114.0,0.0
399,VIBEHub,VIBE,60174530.0,22.54,0.0,0.0,-1.04e-06,0.0,0.0,0.0
400,MediShares,MDS,671982626.0,33.6,2.612e-05,0.0,-587706.08,-0.09,-2640697.65,-0.39
401,My Master War,MAT,4855588.0,4.86,-227781.43,-4.48,-527678.43,-9.8,-1364123.24,-21.93
402,Zeusshield,ZSC,695039182.0,12.32,0.0,0.0,4220185.0,0.61,4220185.0,0.61
403,EASY V2,EZ,2345132.0,23.45,0.0,0.0,3.494e-05,0.0,17403.9,0.75
404,Internxt,INXT,102927.0,9.2,-3.878e-05,0.0,-4.702e-05,0.0,0.0,0.0
405,FODL Finance,FODL,42975285.0,4.3,-1.842e-05,0.0,1369850.26,3.29,-907360.9,-2.07
406,Evrynet,EVRY,30169513.0,3.02,15220.5,0.05,737188.97,2.5,1394740.86,4.85
407,CoinFi,COFI,93439102.0,31.15,7.78e-06,0.0,-3.81e-06,0.0,0.0,0.0
408,Deesse,LOVE,275266382.0,1.38,-3.592e-05,0.0,-3.592e-05,0.0,0.0,0.0
409,Pawtocol,UPI,347237101.0,34.72,-1474.95,0.0,11431272.95,3.4,18367121.24,5.58
410,Orion Money,ORION,21359654.0,2.14,-487393.19,-2.23,-342621.18,-1.58,-241864.18,-1.12
411,IHTCoin,IHT,719291495.0,72.18,3e-10,0.0,-4.097e-05,0.0,0.0,0.0
412,Bikerush,BRT,100193491.0,2.0,0.0,0.0,-569.09,0.0,38308951.08,61.9
413,Beyond Protocol,BP,60423835.0,12.08,-50450.29,-0.08,-1111502.35,-1.81,1644437.92,2.8
414,MetaverseX,METAX,3389805.0,16.95,0.0,0.0,-423.13,-0.01,1381.27,0.04
415,Remme,REM,722586706.0,72.26,-666289.14,-0.09,-1720102.42,-0.24,-1901886.24,-0.26
416,FaceDAO,FACE,1641715974763.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0
417,Enigma,ENG,3837474.0,2.56,3.482e-05,0.0,-1279.43,-0.03,-31943.99,-0.83
418,Primas,PST,34446796.0,27.04,6.183e-05,0.0,0.0,0.0,-95.076,0.0
419,Playkey,PKT,2532617.0,12.73,2.439e-05,0.0,59069.99,2.39,59070.0,2.39
420,RankerDAO,RANKER,154441682.0,51.48,336932.25,0.22,-9105504.44,-5.57,-9493906.93,-5.79
421,EchoLink,EKO,475490714.0,95.1,1.522e-05,0.0,-4.718e-05,0.0,0.0,0.0
422,Po.et,POE,1241924432.0,39.53,-2.616e-05,0.0,0.0,0.0,0.0,0.0
423,ShoeFy,SHOE,7723140.0,7.72,0.0,0.0,-503673.24,-6.12,709364.67,10.11
424,Lunyr,LUN,1335407.0,49.4,3.56e-06,0.0,-4.223e-05,0.0,0.0,0.0
425,CyberMiles,CMT,527588411.0,52.76,3.566e-05,0.0,-4.068e-05,0.0,0.0,0.0
426,Hero Arena,HERA,39527842.0,39.53,-22442.95,-0.06,-126.05,0.0,81916.67,0.21
427,Marnotaur,TAUR,23802524.0,15.87,4.714e-05,0.0,0.0,0.0,-5583.52,-0.02
428,Envelop,NIFTSY,7214202.0,1.44,3.216e-05,0.0,0.0,0.0,-132149.9,-1.8
429,BIKI Token,BIKI,169518749.0,42.3,0.0,0.0,0.0,0.0,0.0,0.0
430,Time New Bank,TNB,2491680473.0,56.45,9.37e-06,0.0,2.48e-06,0.0,0.0,0.0
431,DAOSquare,RICE,13389.0,0.01,0.0,0.0,0.0,0.0,-45377.78,-77.22
432,Kollect,KOL,154308213.0,15.43,-3667.83,0.0,418844.84,0.27,-7392587.99,-4.57
433,Davinci Coin,DAC,12091085132.0,137.4,0.0,0.0,-9.88e-06,0.0,0.0,0.0
434,Swarm,SWM,4997400.0,5.02,1.488e-05,0.0,-7.68e-06,0.0,0.0,0.0
435,CPChain,CPC,11315861.0,1.13,1.843e-05,0.0,3.977e-05,0.0,-43112.97,-0.38
436,MContent,MCONTENT,221497740905191.0,3.68,14567489193.0,0.01,9871072185137.0,4.66,25600497754137.0,13.07
437,MetaVisa Protocol,MESA,150967919.0,1.51,-3645749.94,-2.36,8939371.34,6.29,37085898.19,32.57
438,DeSpace Protocol,DES,49266947.0,49.27,0.0,0.0,-35195.83,-0.07,1780443.39,3.75
439,BitDegree,BDG,26211272.0,3.97,-4.915e-05,0.0,-6.65e-06,0.0,0.0,0.0
440,SingularDTV,SNGLS,425353950.0,42.54,-10035.0,0.0,-13464.0,0.0,-140167.0,-0.03
441,Egretia Token,EGT,2728063007.0,34.1,-5.86e-06,0.0,-1.159e-05,0.0,0.0,0.0
442,ShitCoin,SHIT,24769203812550.0,24.77,-42075414682.0,-0.17,-545671744167.0,-2.16,-204051696460.0,-0.82
443,TopChainCoin,TOPC,692231597.0,32.96,-9e-06,0.0,-1082424.05,-0.16,-7332424.06,-1.05
444,WonderHero,WND,599336.0,0.6,0.0,0.0,-133.92,-0.02,-762.27,-0.13
445,CargoX,CXO,24983200.0,11.61,3.28e-05,0.0,0.0,0.0,0.0,0.0
446,SingularityNET,AGI,274307379.0,27.43,1.87e-05,0.0,3.781e-05,0.0,0.0,0.0
447,Power candy,POC,173685960.0,1.74,0.0,0.0,-8.299e-05,0.0,0.0,0.0
448,TokenClub,TCT,634587110.0,63.46,-113971.89,-0.02,-240291.3,-0.04,5746507.97,0.91
449,DATA,DTA,720353717.0,6.26,0.0,0.0,-5.389e-05,0.0,0.0,0.0
450,KSM Starter,KST,9457421.0,0.0,-233811.33,-2.41,-249581.18,-2.57,-402043.8,-4.08
451,Wrapped LUNA Token,WLUNA,22451455353.0,433100.28,-6813805.08,-0.03,133182965.0,0.6,-9871610038.0,-30.54
452,Zilla,ZLA,14918328.0,24.86,4.11e-05,0.0,4.11e-05,0.0,0.0,0.0
453,Exchange Union,XUC,14462077.0,0.48,0.0,0.0,0.0,0.0,-934.72,-0.01
454,Tepleton,TEP,8966570.0,0.9,-2.864e-05,0.0,1.171e-05,0.0,0.0,0.0
455,bZx Protocol,BZRX,240296.0,0.02,-2.876e-05,0.0,-2.919e-05,0.0,0.0,0.0
456,IoT Chain,ITCOLD,17771.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
457,WBF Token,WT,875768.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0
458,BCPT,BCPT,14016700.0,12.07,-5.307e-05,0.0,-9.924e-05,0.0,0.0,0.0
459,GameCredits,GAME,5377304.0,2.69,0.0,0.0,2.209e-05,0.0,-113802.21,-2.07
460,Banca,BANCA,1594955229.0,7.97,5.12e-06,0.0,-7.72e-06,0.0,0.0,0.0
461,Berry,BERRY,2357868213.0,23.58,4.955e-05,0.0,30756031.87,1.32,1290465263.0,120.9
462,Tierion,TNT,211799535.0,21.18,6.441e-05,0.0,-9.638e-05,0.0,0.0,0.0
463,ChatCoin,CHAT,515936619.0,51.59,9.49e-06,0.0,-10283189.45,-1.95,-10728317.7,-2.04
464,SmartMesh,SMT,14770082.0,0.47,-4.99e-08,0.0,0.0,0.0,0.0,0.0
465,Bituan Token,BT,54782233.0,5.48,4e-05,0.0,4e-05,0.0,0.0,0.0
466,The Three Kingdoms,TTK,22879804.0,2.29,0.0,0.0,0.0,0.0,0.0,0.0
467,Wrapped Centrifuge,wCFG,13702385.0,3.19,-9484.69,-0.07,550005.72,4.18,2803907.12,25.73
468,EKT,EKT,787634008.0,108.74,4.733e-05,0.0,4.733e-05,0.0,-243120.71,-0.03
469,CUBE Network,CUBE,390382.0,0.04,1.328e-05,0.0,4.458e-05,0.0,-146.62,-0.04
470,Heroes & Empires,HE,20464877.0,6.52,-184242.97,-0.89,-63898.89,-0.31,3409443.5,19.99
471,Blockcloud,BLOC,2894132380.0,28.94,-2.56e-06,0.0,-2.82e-05,0.0,-1.0,0.0
472,SIRIN LABS,SRN,125888857.0,22.0,4.526e-05,0.0,49650.0,0.04,-330524.5,-0.26
473,mStable USD,MUSD,164433.0,5.08,2.856e-05,0.0,-996.77,-0.6,-1003.51,-0.61
474,DMarket,DMT,9200991.0,16.16,0.0,0.0,-16792.3,-0.18,-40482.78,-0.44
475,Torii Finance,TORII,689.33,2.15,0.0,0.0,0.0,0.0,0.0,0.0
476,Tael,WABI,31494718.0,31.49,-4.248e-05,0.0,-131432.12,-0.42,-131432.12,-0.42
477,DELTA,DLT,38576004.0,29.61,1.32e-06,0.0,-3.349e-05,0.0,0.0,0.0
478,Ink,INK,80610535.0,8.06,2e-05,0.0,-1.381e-05,0.0,0.0,0.0
479,VouchForMe,IPL,1100076.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0
480,BQT,BQT,11332875.0,1.13,1.899e-05,0.0,1.899e-05,0.0,0.0,0.0
481,AppCoins,APPC,55696626.0,23.23,8.29e-06,0.0,8.29e-06,0.0,-17365.72,-0.03
482,Genesis Vision,GVT,2930006.0,66.04,-1.859e-05,0.0,-161.0,-0.01,-612.6,-0.02
483,Demole,DMLG,66925346.0,0.0,247336.7,0.37,-221380.58,-0.33,531599.1,0.8
484,EXRNchain,EXRN,7441289315.0,7.44,0.0,0.0,-3399724.0,-0.05,-3399724.0,-0.05
485,IndiGG,INDI,9594542.0,0.96,0.0,0.0,55784.0,0.58,246258.16,2.63
486,Matryx,MTX,25045785.0,7.97,0.0,0.0,0.0,0.0,0.0,0.0
487,Tiger Cash,TCH,104.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,Experty,EXY,5285332.0,6.66,1.97e-06,0.0,3e-10,0.0,0.0,0.0
489,OneRoot,RNT,193509623.0,48.38,3.362e-05,0.0,-1e-08,0.0,0.0,0.0
490,Oceanland,OLAND,127602357.0,13.29,-724832.39,-0.56,-1131311.0,-0.88,1453050.52,1.15
491,Gro DAO Token,GRO,19855.0,0.4,-20.26,-0.1,-20.2599,-0.1,-20.26,-0.1
492,WePower Network,WPR,240114000.0,32.22,5.562e-05,0.0,1e-08,0.0,0.0,0.0
493,XrpMoonPepeinuHomerSimpsonDeveloper,DOGECOIN,5.158328915484074e+24,12.28,0.0,0.0,0.0,0.0,0.0,0.0
494,Bitcoin BEP2,BTCB,18330.0,30.3,-190.13,-1.03,-1518.3,-7.65,-7191.44,-28.18
495,Mantle,MNT,361882616.0,5.82,96574.4,0.03,3735095.98,1.04,-32560.14,-0.01
496,Wrapped Beacon ETH,WBETH,592648.0,75.08,-3222.8,-0.54,-9669.51,-1.61,-103367.34,-14.85
497,Cheelee,CHEEL,49494.0,0.0,-373.04,-0.75,-578.91,-1.16,-3337.79,-6.32
498,BitDAO,BIT,149149344.0,1.49,65880.2,0.04,362999.34,0.24,477399.34,0.32
499,BitTorrent,BTTOLD,619957825.0,0.06,281530.5,0.05,4393998.42,0.71,64543795.67,11.62
500,HEX,HEX,299410123.0,0.05,-646590.64,-0.22,13454444.39,4.71,32448055.72,12.15
501,Wrapped BNB,WBNB,60473.0,3.24,31.8751,0.05,2121.43,3.64,9149.1,17.83
502,Merit Circle,MC,9278994.0,1.39,-270.71,0.0,-9720.58,-0.1,-64315.94,-0.69
503,Bitget Token,BGB,235075104.0,11.75,25628.06,0.01,-215167731.0,-47.79,-215104257.0,-47.78
504,Frax,FRAX,187257.0,0.03,0.0,0.0,-67.0194,-0.04,808.17,0.43
505,Fellaz,FLZ,2399876.0,0.12,4.5e-06,0.0,278001.26,13.1,48001.26,2.04
506,WhiteBIT token,WBT,29709681.0,8.13,-485.0,0.0,-444841.49,-1.48,-1754907.8,-5.58
507,Oraichain Token,ORAI,67856.0,0.4,4819.82,7.65,1974.4,3.0,-11902.71,-14.92
508,Axelar,AXL,9734184.0,0.86,-170.31,0.0,17474.08,0.18,1042976.89,12.0
509,Huobi BTC,HBTC,11663.0,130.04,-8.527e-05,0.0,267.99,2.35,268.0,2.35
510,Decentralized USD (TRX),USDD,3959089.0,0.54,-614.55,-0.02,-4532.68,-0.11,40830.9,1.04
511,Coinbase Wrapped Staked ETH,CBETH,3435.98,0.26,238.29,7.45,18.5345,0.54,-576.59,-14.37
512,AltLayer,ALT,618948641.0,6.19,804892.38,0.13,-508790079.0,-45.12,-535671655.0,-46.39
513,MetisDAO,METIS,140182.0,1.4,4438.28,3.27,16709.6,13.53,34802.95,33.03
514,Fasttoken,FTN,719511.0,0.08,1.496e-05,0.0,117951.5,19.61,513615.53,249.45
515,Tether Gold,XAUT,104734.0,42.48,-2.3841,0.0,534.07,0.51,644.26,0.62
516,Rollbit Coin,RLB,416533.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
517,APENFT,NFT,70790056914.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
518,Fei Protocol,FEI,21535.0,0.15,-8.901e-05,0.0,-3211.9,-12.98,-1830.66,-7.83
519,Shido,SHIDO,2427074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520,Orbler,ORBR,607355.0,0.03,0.0,0.0,0.0,0.0,13929.71,2.35
521,L7 DEX,LSD,42532.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
